248
 CYS   SG  1   CYS   SG  1    0.2  CYS2  CYS2
 CYS   SG  1   HEM   FE  2   0.25  CYS2  HEME
 CYS   SG  1   HEM  CAB  1   0.18  CYS2  HEME
 CYS   SG  1   HEM  CAC  1   0.18  CYS2  HEME
 HIS  NE2  1   HEM   FE  1    0.2  HIS1  HEME
 MET   SD  1   HEM   FE  1   0.24   MET  HEME
  CO    C  1  HEME   FE  1   0.19    CO  HEME
 CYM   SG  1   CYM   SG  1    0.2  CYS2  CYS2
 A35  C99  1   C1C  N99  1  0.133   A35   C1C
 A35  C99  1   C1R  N99  1  0.134   A35   C1R
 A35  C99  1   E1N  N99  1  0.134   A35   E1N
 A35  C99  1   L1C  N99  1  0.135   A35   L1C
 A35  C99  1   L1N  N99  1  0.133   A35   L1N
 A35  C99  1   L1R  N99  1  0.134   A35   L1R
 A48  C99  1   B1C  N99  1  0.135   A48   B1C
 A48  C99  1   B1N  N99  1  0.134   A48   B1N
 A48  C99  1   B1R  N99  1  0.134   A48   B1R
 A48  C99  1   C1C  N99  1  0.135   A48   C1C
 A48  C99  1   C1R  N99  1  0.134   A48   C1R
 A48  C99  1   E1N  N99  1  0.134   A48   E1N
 A48  C99  1   L1C  N99  1  0.135   A48   L1C
 A48  C99  1   L1N  N99  1  0.134   A48   L1N
 A48  C99  1   L1R  N99  1  0.135   A48   L1R
 A53  C99  1   C1C  N99  1  0.133   A53   C1C
 A53  C99  1   C1R  N99  1  0.132   A53   C1R
 A53  C99  1   E1N  N99  1  0.134   A53   E1N
 A53  C99  1   L1C  N99  1  0.134   A53   L1C
 A53  C99  1   L1N  N99  1  0.133   A53   L1N
 A53  C99  1   L1R  N99  1  0.133   A53   L1R
 A56  C99  1   C1C  N99  1  0.134   A56   C1C
 A56  C99  1   C1R  N99  1  0.135   A56   C1R
 A56  C99  1   E1N  N99  1  0.134   A56   E1N
 A56  C99  1   L1C  N99  1  0.135   A56   L1C
 A56  C99  1   L1N  N99  1  0.135   A56   L1N
 A56  C99  1   L1R  N99  1  0.134   A56   L1R
 A59  C99  1   C1C  N99  1  0.133   A59   C1C
 A59  C99  1   C1R  N99  1  0.134   A59   C1R
 A59  C99  1   E1N  N99  1  0.134   A59   E1N
 A59  C99  1   L1C  N99  1  0.133   A59   L1C
 A59  C99  1   L1N  N99  1  0.138   A59   L1N
 A59  C99  1   L1R  N99  1  0.135   A59   L1R
 A64  C99  1   B1C  N99  1  0.133   A64   B1C
 A64  C99  1   B1N  N99  1  0.133   A64   B1N
 A64  C99  1   B1R  N99  1  0.133   A64   B1R
 A64  C99  1   C2C  N99  1  0.134   A64   C2C
 A64  C99  1   C2R  N99  1  0.133   A64   C2R
 A64  C99  1   E2N  N99  1  0.134   A64   E2N
 A64  C99  1   L1C  N99  1  0.134   A64   L1C
 A64  C99  1   L1N  N99  1  0.134   A64   L1N
 A64  C99  1   L1R  N99  1  0.134   A64   L1R
 T39  C99  1   C2C  N99  1  0.133   T39   C2C
 T39  C99  1   C2R  N99  1  0.134   T39   C2R
